Wavelength (nm)	U	B	V	R	I
228.5	0.000005	-0.000001	0.000014	-0.000001	-0.000004
229.0	-0.000002	0.000000	-0.000002	-0.000004	-0.000004
229.5	0.000000	-0.000002	0.000004	-0.000002	-0.000001
230.0	-0.000017	0.000007	0.000005	-0.000005	-0.000006
230.5	-0.000003	-0.000007	0.000009	-0.000010	0.000017
231.0	-0.000002	0.000003	0.000013	-0.000008	0.000004
231.5	-0.000011	-0.000001	0.000001	0.000002	-0.000010
232.0	-0.000004	-0.000004	0.000010	-0.000004	0.000003
232.5	-0.000007	0.000005	0.000012	-0.000001	-0.000006
233.0	0.000000	0.000007	0.000001	-0.000010	-0.000010
233.5	0.000004	0.000003	0.000003	0.000006	-0.000007
234.0	-0.000001	-0.000009	0.000004	-0.000008	-0.000001
234.5	-0.000005	-0.000004	0.000007	0.000000	-0.000006
235.0	-0.000010	-0.000004	0.000004	0.000006	-0.000017
235.5	-0.000008	-0.000008	0.000004	-0.000002	-0.000002
236.0	0.000002	-0.000009	0.000007	-0.000003	-0.000008
236.5	-0.000026	-0.000005	0.000005	0.000001	-0.000009
237.0	0.000003	-0.000002	0.000013	-0.000011	-0.000007
237.5	-0.000008	-0.000013	-0.000001	-0.000004	0.000007
238.0	-0.000002	-0.000001	0.000011	0.000000	-0.000008
238.5	0.000009	-0.000023	-0.000011	-0.000004	-0.000002
239.0	-0.000002	-0.000005	0.000000	-0.000002	-0.000007
239.5	-0.000005	0.000000	-0.000002	-0.000010	-0.000002
240.0	-0.000005	0.000003	-0.000004	0.000002	-0.000008
240.5	-0.000004	0.000013	0.000001	-0.000002	0.000006
241.0	-0.000010	-0.000003	0.000005	-0.000007	-0.000008
241.5	-0.000003	-0.000008	0.000009	0.000001	-0.000010
242.0	0.000006	-0.000003	-0.000004	-0.000002	0.000007
242.5	-0.000017	-0.000006	0.000004	-0.000006	-0.000003
243.0	-0.000008	-0.000013	0.000007	-0.000008	-0.000012
243.5	-0.000008	-0.000002	0.000013	-0.000010	-0.000006
244.0	-0.000012	-0.000006	-0.000002	-0.000004	-0.000032
244.5	-0.000009	0.000009	0.000008	-0.000004	-0.000017
245.0	-0.000003	0.000006	-0.000004	-0.000017	-0.000004
245.5	0.000001	0.000002	0.000000	-0.000003	0.000003
246.0	0.000008	0.000002	0.000005	-0.000006	-0.000023
246.5	-0.000016	-0.000008	0.000010	-0.000002	-0.000009
247.0	-0.000006	-0.000001	0.000002	-0.000003	-0.000008
247.5	-0.000006	0.000006	0.000001	0.000010	-0.000010
248.0	0.000010	0.000008	-0.000001	-0.000001	-0.000020
248.5	0.000002	-0.000008	-0.000005	0.000004	-0.000003
249.0	-0.000009	-0.000011	-0.000005	0.000002	-0.000005
249.5	-0.000002	-0.000014	-0.000004	0.000003	0.000006
250.0	0.000001	0.000003	-0.000021	-0.000008	0.000000
250.5	-0.000010	0.000006	0.000006	-0.000003	-0.000019
251.0	-0.000002	-0.000001	-0.000002	0.000001	-0.000005
251.5	-0.000010	-0.000015	0.000011	0.000002	-0.000012
252.0	-0.000009	-0.000005	-0.000001	-0.000003	-0.000007
252.5	-0.000005	0.000000	0.000006	-0.000005	0.000006
253.0	0.000001	-0.000023	-0.000002	0.000000	-0.000001
253.5	-0.000008	-0.000004	-0.000008	-0.000003	-0.000010
254.0	-0.000013	0.000000	0.000000	0.000001	-0.000011
254.5	0.000001	-0.000007	0.000004	-0.000008	-0.000008
255.0	0.000003	-0.000007	-0.000007	0.000004	-0.000015
255.5	-0.000014	0.000002	0.000000	-0.000004	-0.000013
256.0	-0.000001	-0.000008	0.000003	-0.000001	-0.000007
256.5	0.000003	-0.000004	0.000006	-0.000003	0.000001
257.0	0.000005	-0.000004	0.000004	-0.000003	0.000001
257.5	-0.000007	-0.000007	-0.000003	0.000008	-0.000008
258.0	-0.000012	-0.000006	0.000002	0.000001	0.000004
258.5	0.000002	0.000004	-0.000007	-0.000005	0.000006
259.0	-0.000016	-0.000006	-0.000014	0.000006	0.000001
259.5	-0.000007	-0.000006	0.000008	-0.000009	-0.000019
260.0	-0.000002	0.000003	-0.000010	-0.000002	0.000000
260.5	0.000005	-0.000007	0.000005	0.000007	-0.000010
261.0	0.000000	-0.000004	-0.000002	-0.000005	-0.000011
261.5	0.000002	0.000003	-0.000007	0.000011	0.000002
262.0	-0.000003	-0.000006	0.000002	-0.000008	-0.000015
262.5	-0.000005	0.000002	-0.000006	0.000008	0.000015
263.0	-0.000009	0.000008	0.000002	0.000004	0.000014
263.5	-0.000010	0.000013	-0.000004	-0.000001	-0.000004
264.0	-0.000009	-0.000002	-0.000003	0.000010	-0.000005
264.5	-0.000005	0.000008	-0.000005	0.000007	0.000012
265.0	0.000002	0.000006	-0.000004	0.000004	-0.000011
265.5	-0.000002	0.000004	-0.000001	-0.000008	-0.000016
266.0	-0.000005	-0.000007	0.000013	0.000009	-0.000014
266.5	0.000013	0.000003	0.000003	-0.000001	-0.000002
267.0	-0.000001	0.000003	0.000014	0.000001	0.000003
267.5	-0.000015	0.000010	-0.000009	-0.000002	0.000005
268.0	0.000000	0.000000	-0.000005	-0.000001	-0.000009
268.5	0.000012	-0.000002	-0.000009	-0.000004	-0.000003
269.0	0.000003	-0.000002	0.000000	-0.000007	-0.000003
269.5	0.000013	-0.000006	-0.000001	-0.000001	-0.000009
270.0	0.000002	0.000005	-0.000015	0.000007	-0.000020
270.5	-0.000002	0.000002	-0.000005	-0.000014	-0.000004
271.0	-0.000004	0.000005	-0.000002	-0.000004	-0.000017
271.5	-0.000016	0.000001	0.000001	0.000003	-0.000002
272.0	0.000009	0.000000	-0.000002	-0.000009	0.000014
272.5	0.000002	0.000009	-0.000006	0.000008	-0.000008
273.0	0.000003	0.000003	0.000001	0.000003	-0.000011
273.5	-0.000015	0.000004	0.000012	-0.000002	-0.000008
274.0	-0.000009	0.000005	0.000008	0.000000	-0.000006
274.5	-0.000016	-0.000003	0.000003	0.000010	-0.000010
275.0	-0.000004	0.000002	0.000005	-0.000002	-0.000014
275.5	-0.000001	0.000006	0.000009	-0.000004	-0.000008
276.0	0.000010	0.000001	0.000010	0.000002	-0.000008
276.5	0.000000	0.000001	0.000004	0.000000	-0.000013
277.0	-0.000003	0.000005	0.000013	0.000003	-0.000002
277.5	0.000000	-0.000003	0.000008	-0.000007	-0.000015
278.0	-0.000006	-0.000003	0.000002	-0.000006	-0.000001
278.5	-0.000011	0.000012	0.000007	-0.000003	0.000016
279.0	0.000008	0.000018	-0.000009	-0.000004	0.000001
279.5	-0.000001	0.000000	0.000001	-0.000009	0.000016
280.0	0.000000	0.000011	0.000006	0.000000	0.000002
280.5	0.000000	0.000004	0.000008	0.000012	-0.000009
281.0	-0.000011	-0.000002	0.000006	-0.000005	-0.000013
281.5	-0.000018	-0.000007	-0.000001	-0.000004	-0.000011
282.0	-0.000004	0.000011	-0.000003	-0.000004	-0.000007
282.5	0.000001	0.000007	0.000009	-0.000006	-0.000007
283.0	0.000002	0.000015	0.000008	0.000012	0.000012
283.5	-0.000005	0.000005	0.000005	0.000003	-0.000007
284.0	0.000001	-0.000005	-0.000003	-0.000007	-0.000008
284.5	-0.000010	0.000006	-0.000007	-0.000009	-0.000004
285.0	-0.000004	0.000000	-0.000002	0.000000	-0.000007
285.5	-0.000002	-0.000006	-0.000013	0.000001	0.000003
286.0	-0.000014	-0.000003	0.000001	-0.000009	-0.000005
286.5	0.000004	0.000004	-0.000004	-0.000004	0.000001
287.0	0.000000	0.000004	-0.000002	0.000004	-0.000005
287.5	-0.000012	-0.000002	0.000007	-0.000017	0.000012
288.0	-0.000002	0.000003	0.000018	0.000006	-0.000011
288.5	0.000007	0.000005	0.000011	0.000006	-0.000007
289.0	-0.000011	0.000010	-0.000004	0.000004	-0.000009
289.5	0.000009	0.000011	0.000004	0.000007	0.000004
290.0	0.000000	0.000004	0.000014	0.000000	-0.000006
290.5	-0.000015	0.000020	-0.000002	0.000002	0.000000
291.0	-0.000006	0.000008	0.000015	-0.000006	0.000004
291.5	0.000004	-0.000001	-0.000001	-0.000005	0.000008
292.0	-0.000003	0.000015	-0.000004	0.000010	0.000003
292.5	-0.000005	0.000001	-0.000004	-0.000006	-0.000007
293.0	-0.000003	0.000012	0.000006	-0.000006	0.000005
293.5	0.000004	-0.000003	0.000003	-0.000008	-0.000007
294.0	0.000003	0.000009	0.000009	-0.000001	-0.000010
294.5	-0.000002	0.000012	0.000002	-0.000013	0.000006
295.0	-0.000007	-0.000002	-0.000004	0.000000	0.000000
295.5	-0.000009	0.000009	-0.000011	0.000008	-0.000009
296.0	0.000009	0.000016	-0.000003	-0.000006	0.000000
296.5	0.000001	0.000004	-0.000001	-0.000002	-0.000003
297.0	-0.000007	0.000012	0.000005	0.000000	-0.000006
297.5	-0.000007	0.000006	0.000003	-0.000001	0.000006
298.0	0.000003	0.000002	0.000002	0.000004	-0.000015
298.5	-0.000017	0.000003	0.000005	0.000006	0.000002
299.0	-0.000007	0.000004	0.000007	0.000008	-0.000011
299.5	0.000001	0.000003	0.000000	-0.000006	-0.000003
300.0	-0.000011	0.000005	0.000007	0.000004	-0.000014
300.5	0.000006	0.000013	-0.000001	0.000003	0.000004
301.0	-0.000017	-0.000005	-0.000001	0.000001	0.000006
301.5	-0.000015	0.000008	-0.000006	0.000004	-0.000002
302.0	-0.000006	0.000011	-0.000004	0.000003	0.000002
302.5	-0.000006	0.000003	0.000013	-0.000013	-0.000005
303.0	-0.000004	0.000012	0.000002	0.000006	-0.000001
303.5	0.000003	0.000009	0.000000	-0.000005	-0.000014
304.0	-0.000011	0.000005	-0.000007	-0.000008	0.000000
304.5	-0.000007	-0.000002	0.000003	0.000002	-0.000013
305.0	-0.000001	0.000017	0.000003	0.000002	-0.000004
305.5	-0.000008	0.000006	-0.000003	-0.000010	0.000004
306.0	-0.000001	0.000002	-0.000001	0.000005	-0.000015
306.5	-0.000004	-0.000002	0.000012	-0.000004	0.000005
307.0	0.000010	0.000016	0.000001	-0.000005	-0.000010
307.5	-0.000013	0.000003	-0.000004	0.000007	-0.000014
308.0	-0.000006	0.000001	-0.000004	-0.000004	0.000001
308.5	0.000007	0.000015	-0.000004	-0.000007	-0.000012
309.0	0.000004	0.000003	0.000003	-0.000018	-0.000003
309.5	0.000010	0.000008	0.000005	-0.000001	-0.000003
310.0	0.000018	0.000010	-0.000011	-0.000001	0.000006
310.5	0.000035	0.000013	0.000006	-0.000005	-0.000010
311.0	0.000068	0.000004	-0.000008	-0.000001	-0.000004
311.5	0.000089	0.000003	-0.000007	-0.000002	-0.000011
312.0	0.000168	0.000010	0.000008	0.000006	0.000007
312.5	0.000267	0.000011	-0.000007	-0.000004	-0.000006
313.0	0.000388	-0.000007	0.000000	-0.000003	0.000000
313.5	0.000582	0.000018	-0.000009	0.000010	-0.000003
314.0	0.000816	0.000006	0.000001	0.000002	0.000008
314.5	0.001148	0.000008	-0.000005	-0.000005	-0.000011
315.0	0.001568	0.000010	-0.000007	-0.000003	-0.000004
315.5	0.002106	0.000013	-0.000016	0.000011	-0.000005
316.0	0.002799	0.000001	-0.000005	0.000003	-0.000005
316.5	0.003693	0.000016	-0.000006	0.000003	-0.000006
317.0	0.004739	0.000009	0.000006	0.000011	-0.000015
317.5	0.006034	0.000004	0.000005	-0.000001	-0.000007
318.0	0.007585	0.000016	-0.000004	0.000001	0.000010
318.5	0.009390	0.000018	-0.000005	-0.000014	-0.000005
319.0	0.011498	0.000015	-0.000007	-0.000013	-0.000010
319.5	0.013922	0.000001	-0.000012	0.000004	-0.000002
320.0	0.016644	0.000013	-0.000007	0.000009	-0.000004
320.5	0.019883	0.000014	0.000011	-0.000013	-0.000008
321.0	0.023343	0.000000	-0.000012	0.000002	-0.000004
321.5	0.027261	-0.000009	0.000000	0.000003	-0.000006
322.0	0.031639	0.000002	-0.000001	-0.000008	-0.000011
322.5	0.036326	0.000013	-0.000004	-0.000007	-0.000007
323.0	0.041558	0.000013	-0.000002	0.000003	0.000002
323.5	0.047087	0.000006	0.000005	-0.000002	-0.000005
324.0	0.053087	0.000006	0.000006	-0.000016	-0.000003
324.5	0.059554	0.000006	0.000007	-0.000010	0.000007
325.0	0.066237	0.000007	-0.000009	-0.000006	-0.000002
325.5	0.073409	0.000019	0.000002	-0.000001	0.000004
326.0	0.081047	0.000008	-0.000001	-0.000001	0.000002
326.5	0.088913	0.000023	-0.000005	-0.000007	-0.000005
327.0	0.097316	0.000020	0.000000	0.000011	-0.000001
327.5	0.105824	0.000016	-0.000006	0.000013	-0.000005
328.0	0.114653	0.000013	0.000009	0.000004	-0.000014
328.5	0.123811	0.000014	-0.000002	0.000003	-0.000003
329.0	0.133092	0.000013	-0.000004	-0.000013	-0.000009
329.5	0.142650	0.000007	0.000007	0.000003	-0.000004
330.0	0.152762	0.000013	0.000015	-0.000005	0.000004
330.5	0.162642	0.000004	0.000000	-0.000016	-0.000002
331.0	0.172903	0.000013	0.000000	0.000001	0.000003
331.5	0.183294	0.000006	0.000005	0.000014	0.000015
332.0	0.193642	0.000015	0.000000	-0.000003	-0.000004
332.5	0.204327	0.000006	-0.000002	0.000000	-0.000006
333.0	0.214885	0.000005	0.000002	0.000004	-0.000008
333.5	0.225535	0.000019	-0.000005	-0.000006	-0.000010
334.0	0.236242	0.000023	0.000000	-0.000005	-0.000007
334.5	0.246810	0.000018	0.000002	0.000002	-0.000002
335.0	0.257505	-0.000002	0.000013	0.000003	0.000007
335.5	0.268306	0.000016	0.000013	-0.000002	-0.000011
336.0	0.279030	0.000011	0.000010	-0.000001	-0.000004
336.5	0.289716	0.000004	-0.000003	0.000003	-0.000012
337.0	0.299990	0.000016	-0.000003	-0.000005	-0.000011
337.5	0.310092	0.000009	0.000002	-0.000003	-0.000004
338.0	0.320581	0.000007	0.000011	0.000013	0.000008
338.5	0.330550	0.000009	0.000006	0.000002	-0.000012
339.0	0.341123	0.000012	0.000010	-0.000009	-0.000005
339.5	0.350856	0.000015	0.000017	-0.000003	0.000006
340.0	0.360624	0.000007	0.000011	0.000004	-0.000021
340.5	0.370109	0.000013	0.000013	0.000001	-0.000003
341.0	0.379456	0.000004	0.000016	-0.000003	-0.000003
341.5	0.388756	0.000013	0.000013	0.000007	0.000004
342.0	0.397900	0.000020	0.000012	0.000002	-0.000003
342.5	0.406739	0.000012	0.000021	-0.000006	0.000004
343.0	0.415578	0.000020	0.000020	-0.000005	-0.000012
343.5	0.423966	0.000004	0.000012	-0.000002	-0.000006
344.0	0.432507	0.000010	0.000016	-0.000003	0.000011
344.5	0.440930	0.000013	0.000002	-0.000002	0.000008
345.0	0.448613	0.000016	0.000007	-0.000008	-0.000008
345.5	0.456617	0.000013	0.000017	-0.000005	-0.000009
346.0	0.464576	0.000015	0.000016	0.000004	0.000000
346.5	0.472104	0.000014	0.000013	0.000004	0.000003
347.0	0.479248	0.000000	0.000022	0.000008	-0.000007
347.5	0.486563	0.000003	0.000006	0.000009	-0.000005
348.0	0.493441	0.000023	0.000014	-0.000008	0.000015
348.5	0.500339	0.000004	0.000010	-0.000005	0.000000
349.0	0.507262	0.000017	-0.000010	-0.000008	-0.000014
349.5	0.513784	0.000016	0.000012	0.000000	-0.000002
350.0	0.520071	0.000012	0.000009	-0.000002	-0.000005
350.5	0.526165	0.000007	0.000017	0.000001	0.000020
351.0	0.531931	0.000012	0.000017	0.000004	-0.000004
351.5	0.537879	0.000019	0.000024	0.000002	-0.000019
352.0	0.543537	0.000011	0.000017	-0.000004	-0.000005
352.5	0.549101	0.000014	0.000008	0.000000	0.000005
353.0	0.554290	0.000020	0.000029	0.000002	0.000002
353.5	0.559241	0.000017	0.000018	0.000007	-0.000001
354.0	0.564198	0.000018	0.000024	0.000006	-0.000002
354.5	0.568878	0.000009	0.000023	-0.000003	-0.000013
355.0	0.573543	0.000013	0.000017	0.000011	-0.000010
355.5	0.577949	0.000011	0.000023	0.000018	0.000006
356.0	0.582301	0.000013	0.000018	0.000003	-0.000001
356.5	0.586589	0.000011	0.000019	0.000014	-0.000001
357.0	0.590734	0.000015	0.000012	0.000012	-0.000007
357.5	0.594545	0.000013	0.000023	0.000010	-0.000004
358.0	0.598257	0.000024	0.000019	0.000013	0.000009
358.5	0.601924	0.000015	0.000006	0.000002	0.000009
359.0	0.604962	0.000023	0.000022	-0.000001	0.000008
359.5	0.608392	0.000010	0.000021	0.000002	-0.000013
360.0	0.611695	0.000015	0.000006	-0.000008	0.000011
360.5	0.614348	0.000015	0.000015	0.000013	-0.000001
361.0	0.617346	0.000009	0.000014	-0.000002	-0.000005
361.5	0.619821	0.000013	0.000016	0.000002	-0.000004
362.0	0.622295	0.000022	0.000015	-0.000013	-0.000004
362.5	0.624789	0.000020	0.000016	0.000006	-0.000013
363.0	0.627009	0.000023	0.000016	0.000012	-0.000003
363.5	0.628900	0.000009	0.000031	0.000010	-0.000008
364.0	0.630788	0.000016	0.000025	-0.000005	-0.000010
364.5	0.632616	0.000009	0.000028	-0.000001	0.000004
365.0	0.634065	0.000017	0.000027	0.000009	0.000008
365.5	0.635413	0.000023	0.000004	0.000007	0.000003
366.0	0.636525	0.000007	0.000031	0.000008	0.000002
366.5	0.637831	0.000025	0.000011	0.000007	-0.000006
367.0	0.638686	0.000003	0.000010	-0.000003	-0.000002
367.5	0.639344	0.000018	0.000001	-0.000008	-0.000008
368.0	0.640100	0.000006	0.000023	0.000009	-0.000006
368.5	0.640282	0.000002	0.000004	0.000004	-0.000009
369.0	0.640787	0.000018	0.000012	0.000029	0.000002
369.5	0.640482	0.000001	0.000027	0.000003	0.000001
370.0	0.640327	0.000004	0.000024	-0.000002	0.000000
370.5	0.639697	0.000022	0.000027	-0.000008	-0.000007
371.0	0.639455	0.000022	0.000025	0.000001	0.000005
371.5	0.638658	0.000022	0.000021	0.000000	-0.000016
372.0	0.637539	0.000027	0.000005	-0.000004	0.000000
372.5	0.636206	0.000041	0.000020	0.000011	0.000010
373.0	0.634490	0.000046	0.000031	-0.000005	-0.000010
373.5	0.632714	0.000082	0.000023	0.000001	-0.000004
374.0	0.630588	0.000131	0.000021	-0.000010	0.000002
374.5	0.628213	0.000242	0.000009	0.000005	-0.000011
375.0	0.625557	0.000450	0.000014	0.000007	-0.000007
375.5	0.622572	0.000821	0.000020	-0.000012	0.000000
376.0	0.619237	0.001459	0.000029	-0.000003	0.000010
376.5	0.616024	0.002610	0.000033	0.000010	-0.000005
377.0	0.611935	0.004529	0.000028	-0.000001	0.000008
377.5	0.607726	0.007596	0.000030	0.000003	-0.000001
378.0	0.603061	0.012487	0.000032	0.000024	-0.000002
378.5	0.598302	0.019565	0.000015	0.000011	0.000000
379.0	0.593077	0.029732	0.000018	-0.000002	-0.000004
379.5	0.587476	0.043910	0.000031	-0.000006	-0.000004
380.0	0.581292	0.062351	0.000036	-0.000005	0.000014
380.5	0.574607	0.085991	0.000027	0.000011	-0.000007
381.0	0.568171	0.114423	0.000026	0.000011	-0.000007
381.5	0.560406	0.147133	0.000023	0.000001	-0.000002
382.0	0.552900	0.183433	0.000023	-0.000011	0.000006
382.5	0.545033	0.222428	0.000018	0.000014	-0.000001
383.0	0.536581	0.263175	0.000016	0.000007	-0.000003
383.5	0.527650	0.305659	0.000022	0.000010	-0.000001
384.0	0.518557	0.346376	0.000012	0.000002	0.000009
384.5	0.508813	0.386828	0.000020	-0.000010	-0.000003
385.0	0.498973	0.424503	0.000019	0.000017	-0.000002
385.5	0.488456	0.459325	0.000023	-0.000006	-0.000001
386.0	0.477518	0.492030	0.000012	-0.000001	-0.000012
386.5	0.466496	0.521109	0.000039	-0.000003	-0.000009
387.0	0.455069	0.547177	0.000028	0.000000	-0.000007
387.5	0.443082	0.571049	0.000031	0.000021	0.000003
388.0	0.431089	0.591740	0.000016	0.000006	0.000009
388.5	0.418625	0.609749	0.000023	0.000006	-0.000010
389.0	0.405854	0.625938	0.000018	0.000002	-0.000018
389.5	0.392932	0.640324	0.000022	0.000013	-0.000007
390.0	0.379511	0.653285	0.000025	-0.000005	-0.000008
390.5	0.365914	0.664339	0.000021	-0.000009	-0.000006
391.0	0.352384	0.674404	0.000032	-0.000001	0.000004
391.5	0.338488	0.683457	0.000036	0.000005	0.000000
392.0	0.324995	0.691293	0.000017	0.000005	0.000001
392.5	0.311162	0.698295	0.000023	0.000003	-0.000001
393.0	0.297132	0.704634	0.000023	0.000006	0.000002
393.5	0.283493	0.710708	0.000019	-0.000001	-0.000005
394.0	0.269494	0.716275	0.000016	0.000007	-0.000013
394.5	0.255820	0.720989	0.000007	0.000001	-0.000006
395.0	0.242451	0.725068	0.000022	-0.000006	0.000002
395.5	0.229069	0.729284	0.000020	0.000006	0.000003
396.0	0.216124	0.733255	0.000025	-0.000001	-0.000008
396.5	0.203277	0.736638	0.000023	0.000001	-0.000002
397.0	0.190709	0.740262	0.000038	0.000002	0.000001
397.5	0.178671	0.743419	0.000023	0.000003	0.000014
398.0	0.166891	0.746453	0.000032	-0.000002	-0.000010
398.5	0.155649	0.749360	0.000034	0.000000	0.000006
399.0	0.144593	0.752189	0.000026	-0.000001	-0.000002
399.5	0.133853	0.754647	0.000026	0.000013	-0.000008
400.0	0.124031	0.757147	0.000030	0.000018	0.000017
400.5	0.114297	0.759151	0.000020	-0.000004	-0.000014
401.0	0.105113	0.761702	0.000024	0.000005	-0.000002
401.5	0.096561	0.763588	0.000022	0.000000	-0.000008
402.0	0.088363	0.765475	0.000020	-0.000003	0.000004
402.5	0.080700	0.767323	0.000037	-0.000017	-0.000005
403.0	0.073428	0.769206	0.000031	-0.000005	-0.000009
403.5	0.066587	0.770915	0.000024	0.000002	-0.000001
404.0	0.060405	0.772651	0.000024	-0.000003	-0.000006
404.5	0.054655	0.774219	0.000022	0.000000	0.000000
405.0	0.049221	0.775950	0.000029	-0.000004	-0.000010
405.5	0.044308	0.777195	0.000031	0.000010	0.000008
406.0	0.039740	0.778689	0.000017	0.000009	-0.000001
406.5	0.035605	0.779871	0.000022	-0.000007	0.000001
407.0	0.031786	0.781191	0.000020	-0.000001	0.000002
407.5	0.028279	0.782482	0.000036	0.000012	-0.000009
408.0	0.025163	0.783411	0.000033	0.000000	0.000001
408.5	0.022295	0.784273	0.000014	-0.000001	0.000005
409.0	0.019706	0.785340	0.000023	0.000008	-0.000008
409.5	0.017403	0.786316	0.000015	0.000018	-0.000007
410.0	0.015318	0.787215	0.000018	-0.000006	-0.000008
410.5	0.013462	0.787984	0.000020	0.000005	0.000003
411.0	0.011812	0.788705	0.000018	-0.000006	0.000001
411.5	0.010309	0.789393	0.000017	0.000011	0.000001
412.0	0.008997	0.790002	0.000028	-0.000001	-0.000005
412.5	0.007833	0.790542	0.000038	0.000013	-0.000003
413.0	0.006794	0.791034	0.000041	0.000013	0.000004
413.5	0.005913	0.791544	0.000031	0.000008	0.000006
414.0	0.005143	0.792008	0.000027	-0.000003	0.000004
414.5	0.004425	0.792277	0.000030	0.000003	-0.000008
415.0	0.003823	0.792827	0.000035	0.000004	0.000006
415.5	0.003304	0.793073	0.000017	-0.000003	-0.000007
416.0	0.002824	0.793574	0.000021	0.000007	-0.000006
416.5	0.002444	0.794042	0.000039	-0.000015	0.000002
417.0	0.002094	0.794534	0.000017	0.000003	-0.000006
417.5	0.001785	0.795137	0.000028	0.000019	-0.000006
418.0	0.001524	0.795444	0.000021	0.000012	0.000004
418.5	0.001322	0.795885	0.000012	0.000003	0.000008
419.0	0.001127	0.796476	0.000026	-0.000003	-0.000008
419.5	0.000944	0.796611	0.000025	-0.000003	-0.000016
420.0	0.000821	0.796684	0.000020	-0.000010	-0.000006
420.5	0.000708	0.796897	0.000017	0.000011	-0.000016
421.0	0.000597	0.796980	0.000025	0.000015	-0.000012
421.5	0.000529	0.796901	0.000011	-0.000011	-0.000028
422.0	0.000427	0.796849	0.000020	0.000004	-0.000012
422.5	0.000367	0.796436	0.000026	0.000008	-0.000011
423.0	0.000311	0.796771	0.000021	0.000005	-0.000006
423.5	0.000269	0.796472	0.000021	0.000002	0.000001
424.0	0.000225	0.795713	0.000025	-0.000001	-0.000004
424.5	0.000179	0.795582	0.000021	-0.000004	0.000002
425.0	0.000156	0.795092	0.000020	0.000005	-0.000003
425.5	0.000149	0.794608	0.000034	-0.000001	0.000002
